,main_temp,main_feels_like,main_pressure,main_humidity,main_temp_min,main_temp_max,wind_speed,wind_deg,Day,hour,minute,year_2020,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
125,5,0,982,75,4,6,6.7,240.0,1,12,40,1,0,0,1,0,0,0,0,0,0,0,0,0
126,5,-1,982,75,4,6,6.7,240.0,1,12,50,1,0,0,1,0,0,0,0,0,0,0,0,0
127,5,0,982,75,4,6,5.1,230.0,1,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0
128,5,0,982,75,4,6,5.1,230.0,1,13,10,1,0,0,1,0,0,0,0,0,0,0,0,0
129,5,0,982,75,4,5,5.1,230.0,1,13,20,1,0,0,1,0,0,0,0,0,0,0,0,0
130,4,0,982,80,4,5,5.7,230.0,1,13,30,1,0,0,1,0,0,0,0,0,0,0,0,0
131,5,0,982,80,4,6,5.7,230.0,1,13,40,1,0,0,1,0,0,0,0,0,0,0,0,0
132,4,0,982,80,4,5,5.7,230.0,1,13,50,1,0,0,1,0,0,0,0,0,0,0,0,0
133,4,-1,982,80,3,5,6.2,240.0,1,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0
134,4,-1,982,80,3,6,6.2,240.0,1,14,10,1,0,0,1,0,0,0,0,0,0,0,0,0
135,4,-1,982,80,4,5,6.2,240.0,1,14,20,1,0,0,1,0,0,0,0,0,0,0,0,0
136,4,-1,982,70,2,5,6.2,240.0,1,14,30,1,0,0,1,0,0,0,0,0,0,0,0,0
137,4,-1,982,70,2,6,6.2,240.0,1,14,40,1,0,0,1,0,0,0,0,0,0,0,0,0
138,5,-1,982,70,3,6,6.2,240.0,1,14,50,1,0,0,1,0,0,0,0,0,0,0,0,0
139,5,0,982,70,3,6,5.7,240.0,1,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0
140,5,0,982,70,3,6,5.7,240.0,1,15,10,1,0,0,1,0,0,0,0,0,0,0,0,0
141,5,0,982,70,4,6,5.7,240.0,1,15,20,1,0,0,1,0,0,0,0,0,0,0,0,0
142,4,-1,982,75,3,6,6.7,260.0,1,15,30,1,0,0,1,0,0,0,0,0,0,0,0,0
143,3,-2,982,75,2,5,6.7,260.0,1,15,40,1,0,0,1,0,0,0,0,0,0,0,0,0
144,3,-2,982,75,2,5,6.7,260.0,1,15,50,1,0,0,1,0,0,0,0,0,0,0,0,0
145,4,-2,982,67,3,5,6.2,230.0,1,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0
146,4,-1,982,67,4,5,6.2,230.0,1,16,10,1,0,0,1,0,0,0,0,0,0,0,0,0
147,4,-1,982,67,4,5,6.2,230.0,1,16,20,1,0,0,1,0,0,0,0,0,0,0,0,0
148,4,-1,982,67,4,5,6.2,240.0,1,16,30,1,0,0,1,0,0,0,0,0,0,0,0,0
149,4,-1,982,67,4,5,6.2,240.0,1,16,40,1,0,0,1,0,0,0,0,0,0,0,0,0
150,4,-1,982,78,3,5,6.2,240.0,1,16,50,1,0,0,1,0,0,0,0,0,0,0,0,0
151,4,-1,981,78,3,5,5.7,240.0,1,17,0,1,0,0,1,0,0,0,0,0,0,0,0,0
152,4,-1,981,78,3,5,5.7,240.0,1,17,10,1,0,0,1,0,0,0,0,0,0,0,0,0
153,4,-1,981,60,2,5,6.2,250.0,1,17,20,1,0,0,1,0,0,0,0,0,0,0,0,0
154,4,-1,981,60,2,5,6.2,250.0,1,17,30,1,0,0,1,0,0,0,0,0,0,0,0,0
155,4,-2,981,60,2,5,6.2,250.0,1,17,40,1,0,0,1,0,0,0,0,0,0,0,0,0
156,4,-2,981,60,2,5,6.2,250.0,1,17,50,1,0,0,1,0,0,0,0,0,0,0,0,0
157,3,-1,981,65,2,4,5.1,250.0,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0
158,3,-1,981,65,2,4,5.1,250.0,1,18,10,1,0,0,1,0,0,0,0,0,0,0,0,0
159,3,-2,981,65,2,4,5.1,250.0,1,18,20,1,0,0,1,0,0,0,0,0,0,0,0,0
160,3,-2,981,65,2,4,5.1,250.0,1,18,30,1,0,0,1,0,0,0,0,0,0,0,0,0
161,2,-3,982,78,2,3,6.7,240.0,1,18,40,1,0,0,1,0,0,0,0,0,0,0,0,0
162,2,-3,982,74,1,3,5.7,250.0,1,18,50,1,0,0,1,0,0,0,0,0,0,0,0,0
163,2,-3,982,74,1,3,5.7,250.0,1,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0
164,2,-3,982,74,1,3,5.7,250.0,1,19,10,1,0,0,1,0,0,0,0,0,0,0,0,0
165,2,-3,982,74,1,3,5.7,250.0,1,19,20,1,0,0,1,0,0,0,0,0,0,0,0,0
166,2,-3,982,74,1,3,5.7,250.0,1,19,30,1,0,0,1,0,0,0,0,0,0,0,0,0
167,2,-2,982,76,1,3,4.1,250.0,1,19,40,1,0,0,1,0,0,0,0,0,0,0,0,0
168,2,-1,982,85,1,3,4.1,240.0,1,19,50,1,0,0,1,0,0,0,0,0,0,0,0,0
169,2,-1,982,85,1,3,4.1,240.0,1,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0
170,2,-1,982,85,1,3,4.1,240.0,1,20,10,1,0,0,1,0,0,0,0,0,0,0,0,0
171,2,-2,983,85,1,3,4.1,230.0,1,20,20,1,0,0,1,0,0,0,0,0,0,0,0,0
172,2,-2,983,85,1,3,4.1,230.0,1,20,30,1,0,0,1,0,0,0,0,0,0,0,0,0
173,2,-2,983,85,1,3,4.1,230.0,1,20,40,1,0,0,1,0,0,0,0,0,0,0,0,0
174,2,-2,983,85,1,2,4.1,220.0,1,20,50,1,0,0,1,0,0,0,0,0,0,0,0,0
175,2,-2,983,85,1,2,4.1,220.0,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0
176,2,-2,983,85,1,2,4.1,220.0,1,21,10,1,0,0,1,0,0,0,0,0,0,0,0,0
177,2,-2,983,85,0,2,3.6,230.0,1,21,20,1,0,0,1,0,0,0,0,0,0,0,0,0
178,2,-2,983,85,0,2,3.6,230.0,1,21,30,1,0,0,1,0,0,0,0,0,0,0,0,0
179,2,-2,983,85,1,2,3.6,230.0,1,21,40,1,0,0,1,0,0,0,0,0,0,0,0,0
180,2,-2,983,85,0,2,3.6,240.0,1,21,50,1,0,0,1,0,0,0,0,0,0,0,0,0
181,2,-2,983,85,0,2,3.6,240.0,1,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0
182,2,-2,983,85,0,2,3.6,240.0,1,22,10,1,0,0,1,0,0,0,0,0,0,0,0,0
183,2,-2,983,85,0,2,3.6,240.0,1,22,20,1,0,0,1,0,0,0,0,0,0,0,0,0
184,2,-1,983,85,0,2,3.1,230.0,1,22,30,1,0,0,1,0,0,0,0,0,0,0,0,0
185,2,-1,983,91,1,2,3.1,230.0,1,22,40,1,0,0,1,0,0,0,0,0,0,0,0,0
186,2,-1,983,91,1,2,3.1,230.0,1,22,50,1,0,0,1,0,0,0,0,0,0,0,0,0
187,2,-2,983,91,1,2,3.6,230.0,1,23,0,1,0,0,1,0,0,0,0,0,0,0,0,0
188,1,-2,983,91,0,2,3.6,230.0,1,23,10,1,0,0,1,0,0,0,0,0,0,0,0,0
189,1,-2,983,91,0,2,3.6,230.0,1,23,20,1,0,0,1,0,0,0,0,0,0,0,0,0
190,1,-2,983,91,0,2,3.6,230.0,1,23,30,1,0,0,1,0,0,0,0,0,0,0,0,0
191,1,-2,983,91,0,2,3.6,230.0,1,23,40,1,0,0,1,0,0,0,0,0,0,0,0,0
192,2,-2,983,91,1,2,3.6,230.0,1,23,50,1,0,0,1,0,0,0,0,0,0,0,0,0
193,2,-2,983,91,1,2,3.6,240.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
194,2,-2,983,91,1,2,3.6,240.0,2,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0
195,1,-2,983,91,0,2,3.6,240.0,2,0,20,1,0,0,1,0,0,0,0,0,0,0,0,0
196,1,-2,983,91,0,2,3.6,240.0,2,0,30,1,0,0,1,0,0,0,0,0,0,0,0,0
197,1,-2,983,93,0,2,3.1,230.0,2,0,40,1,0,0,1,0,0,0,0,0,0,0,0,0
198,1,-2,983,93,0,2,3.1,230.0,2,0,50,1,0,0,1,0,0,0,0,0,0,0,0,0
199,1,-1,983,93,0,2,2.6,240.0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
200,1,-1,983,93,0,2,2.6,240.0,2,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0
201,1,-1,983,93,0,2,2.6,240.0,2,1,20,1,0,0,1,0,0,0,0,0,0,0,0,0
202,1,-2,983,91,0,2,3.1,220.0,2,1,30,1,0,0,1,0,0,0,0,0,0,0,0,0
203,1,-2,983,91,1,2,3.1,220.0,2,1,40,1,0,0,1,0,0,0,0,0,0,0,0,0
204,2,-1,983,91,1,2,3.1,220.0,2,1,50,1,0,0,1,0,0,0,0,0,0,0,0,0
205,1,-1,984,91,1,1,2.6,230.0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0
206,1,-1,984,91,1,1,2.6,230.0,2,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0
207,1,-1,984,91,1,1,2.6,230.0,2,2,20,1,0,0,1,0,0,0,0,0,0,0,0,0
208,1,-2,984,91,0,1,3.1,240.0,2,2,30,1,0,0,1,0,0,0,0,0,0,0,0,0
209,1,-2,984,91,0,1,3.1,240.0,2,2,40,1,0,0,1,0,0,0,0,0,0,0,0,0
210,1,-2,984,91,0,1,3.1,240.0,2,2,50,1,0,0,1,0,0,0,0,0,0,0,0,0
211,1,-2,984,91,0,1,2.6,240.0,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0
212,1,-2,984,91,0,1,2.6,240.0,2,3,10,1,0,0,1,0,0,0,0,0,0,0,0,0
213,1,-2,984,91,0,1,2.6,240.0,2,3,20,1,0,0,1,0,0,0,0,0,0,0,0,0
214,1,-2,984,91,1,1,3.1,240.0,2,3,30,1,0,0,1,0,0,0,0,0,0,0,0,0
215,1,-2,984,91,1,1,3.1,240.0,2,3,40,1,0,0,1,0,0,0,0,0,0,0,0,0
216,1,-2,984,91,1,1,3.1,240.0,2,3,50,1,0,0,1,0,0,0,0,0,0,0,0,0
217,1,-2,984,91,0,1,2.6,220.0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0
218,1,-2,984,91,0,1,2.6,220.0,2,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0
219,1,-2,984,91,0,1,2.6,220.0,2,4,20,1,0,0,1,0,0,0,0,0,0,0,0,0
220,1,-2,984,91,0,2,2.6,220.0,2,4,30,1,0,0,1,0,0,0,0,0,0,0,0,0
221,0,-3,984,80,0,1,3.6,240.0,2,4,40,1,0,0,1,0,0,0,0,0,0,0,0,0
222,0,-3,984,80,0,1,3.6,240.0,2,4,50,1,0,0,1,0,0,0,0,0,0,0,0,0
223,1,-4,984,80,0,1,4.6,250.0,2,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
224,1,-4,984,80,0,1,4.6,250.0,2,5,10,1,0,0,1,0,0,0,0,0,0,0,0,0
225,0,-3,985,86,0,1,3.6,240.0,2,5,20,1,0,0,1,0,0,0,0,0,0,0,0,0
